Comment,Description,Designator,LibRef,Quantity,Footprint
SS-51000-004,"Stewart Connector, Internal Part #: SS-51000-004","C1, C2",CMP-002-00075-4,2,SS-51000-004-Footprint-1
08055C472KAT2A,"General Purpose Ceramic Capacitor, 0805, 4.7nF, 10%, X7R, 0.15, 50V","C3, C4, C5, C6, C7, C8, C9, C10",CMP-1036-03594-3,8,FP-0805-L_2_01_0_2-W_1_25-IPC_B
Capacitor 100 nF +/-10% 50 V 0805,"Chip Capacitor, 100 nF, +/- 10%, 50 V, 0805 (2012 Metric)",C11,CMP-001-00018-6,1,CAPC2013X95X50LL10T25
APT2012LZGCK,LED GREEN CLEAR 2SMD,D1,CMP-44529-000065-1,1,FP-APT2012LZGCK-MFG
SS-7188S-A-PG4-1-BA,Conn Modular Jack F 8 POS 1.27mm Solder RA Thru-Hole 8 Terminal 1 Port,"E1, E2",CMP-002-00072-1,2,SS-7188S-A-PG4-1-BA-Footprint-1
5004,PC TEST POINT MINIATURE YELLOW,"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14",CMP-2000-05575-2,14,FP-5004-MFG
EC2-5TNU,RELAY GEN PURPOSE DPDT 2A 5VDC,"K1, K2, K3, K4, K5, K6, K7, K8",CMP-03195-000012-1,8,FP-EC2-5TNU-MFG
61300711121,"THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 7 pins",P1,CMP-1502-01074-1,1,61300711121
Resistor 10k +/-1% 0805 125 mW,"Chip Resistor, 10 KOhm, +/- 1%, 125 mW, -55 to 155 degC, 0805 (2012 Metric)","R1, R3",CMP-009-00018-5,2,RESC2013X50X35ML15T15
CRCW08051K20FKEA,"RES Thick Film, 1.2k?, 1%, 0.125W, 100ppm/°C, 0805",R2,CMP-2001-03607-2,1,FP-CRCW0805-e3-MFG
PTH-M2D5X5,"M2 PTH (2.5mm), 5mm pad","ST1, ST2, ST3, ST4",CMP-00028-00004-2,4,PTH-M2D5X5
TLE8108EM,"Smart 8 Channel Low Side Relay Driver with SPI Interface with Limitation Over-Current Protection, -40 to 150 degC, PG-SSOP-24-4, Reel, Green",U1,CMP-1097-00013-1,1,INF-PG-SSOP-24-4_L
